RespId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q30,ppage,educ,race,gender,income_cat,voter_category
470293,1,1,4,4,2,4,2,1,1,2,1,1,1,2,57,1,4,1,3,1
470294,1,2,4,4,4,1,1,4,2,3,1,4,1,3,73,1,4,2,4,2
470301,3,4,2,1,2,1,2,2,2,2,2,1,1,1,76,3,4,2,2,2
470305,1,1,3,1,1,1,1,2,3,2,4,3,1,2,22,2,4,1,2,1
470309,1,2,3,2,2,2,3,3,3,2,4,3,1,5,48,2,3,2,1,1
470310,2,2,2,1,2,2,1,1,1,1,1,1,1,1,61,3,1,2,3,2
470311,1,1,4,2,1,2,1,1,2,3,3,2,1,5,29,1,4,1,3,1
470312,1,1,4,4,2,1,3,3,4,2,4,2,1,2,51,2,1,2,2,2
470313,3,4,3,1,1,3,1,2,2,1,2,2,1,2,80,2,4,1,1,1
470314,2,2,3,3,2,1,2,2,2,2,2,2,1,1,66,2,4,1,2,1
480336,2,3,3,2,2,2,1,2,2,2,2,2,1,3,53,2,4,1,2,3
480339,2,2,3,1,3,2,1,1,1,1,2,1,1,1,62,2,4,1,4,1
470317,4,4,2,1,3,4,3,1,2,4,2,4,1,3,59,1,4,2,4,2
470319,4,4,2,1,4,3,2,2,3,4,2,2,1,1,68,3,4,2,3,3
470320,2,2,2,2,1,3,2,1,2,3,2,2,1,2,56,3,4,2,4,2
470321,2,2,3,2,2,3,2,2,2,2,2,2,1,2,82,1,4,1,1,2
470322,2,2,4,4,1,2,1,1,1,1,2,1,2,2,49,2,4,2,2,2
470323,2,3,3,3,2,2,2,2,2,2,2,2,1,3,73,1,4,2,2,1
470326,1,1,3,2,2,3,1,1,1,2,2,2,1,3,70,2,4,2,3,2
470329,1,2,2,3,3,2,2,2,2,2,3,2,2,1,29,1,4,2,4,2
470330,4,3,2,1,3,2,1,1,1,4,4,1,1,1,76,2,4,2,2,2
